schulnummer,schulname,school_type,schulkategorie,schulform_raw,klassenstufe,strasse,plz,ort,stadt,bundesland,ortsteil,latitude,longitude,telefon,fax,email,website,traegerschaft,traeger_name,form_der_privatschule,schulleitung,stv_schulleitung,schueler_gesamt,klassenzahl,unterrichtszeit,unterrichtszeit_erlaeuterung,profile,sonstige_profile,foerderschwerpunkt,unterrichtssprache,fruehe_fremdsprache,erste_fremdsprache,zweite_fremdsprache,dritte_fremdsprache,sprachen,art_des_angebots,ganztagsform,besonderheiten,besonderheiten_erlaeuterung,auszeichnungen,foerderverein,schulbibliothek,namensgebung,berufsbereiche,ausbildungsberufe,schulform_bemerkung,ndh_count,sw_portal_url,sw_portal_slug,data_source,data_retrieved
4380,Grundschule Riedberg,Grundschule,grundschulen,Grundschule,1-4,Zur Kalbacher Höhe 15,60438,Frankfurt am Main,Frankfurt am Main,Hessen,Kalbach-Riedberg,50.1778779,8.6380448,+49 69 212 73300,+49 69 212 73330,poststelle.grundschule-riedberg@stadt-frankfurt.de,http://www.grundschule-riedberg.de,Stadt Frankfurt am Main,,,Elisabeth Schwarz,Julian Daubaris,450.0,18.0,08:00 bis 14:25 Uhr,,Flexibler Schulanfang,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, Serbisch, Polnisch, Spanisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, Serbisch, Polnisch, Spanisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Ganztagsangebote, Kooperationspartner",,"Umweltschule, Schule der Nachhaltigkeit","""Förderverein der 1. Grundschule am Riedberg e.V.""","Öffnungszeiten: täglich 10:00 – 15:00 Uhr. Konzept: Wöchentliche Lesestunde für jede Klasse (Leseclub), Ausleihe durch die Eltern, Autorenlesungen, Teilnahme an der ""Kalbacher Klapperschlange"". Von der Stadtbücherei aufgebaut und organisiert.",,,,"Schulen mit flexiblem Schulanfang fügen die Jahrgangsstufen 1 und 2 inhaltlich und organisatorisch zusammen. Die Kinder durchlaufen diese beiden Stufen je nach individuellem Entwicklungs- und Leistungsstand in mindestens einem, zwei oder höchstens drei Jahren.",,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/grundschule-riedberg,grundschule-riedberg,Frankfurt Schulwegweiser,2026-04-06
3111,Gruneliusschule,Grundschule,grundschulen,Grundschule,1-4,Wiener Straße 13,60599,Frankfurt am Main,Frankfurt am Main,Hessen,Oberrad,50.0978,8.72672,+49 69 212 35294,+49 69 212 74975,poststelle.gruneliusschule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Anne Gernoth,Nora Müller-Thiel,442.0,20.0,siehe Erläuterung der Unterrichtszeit,,,,,Deutsch,"Englisch, Weitere Sprachangebote, Spanisch, Französisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",,,,"Englisch, Weitere Sprachangebote, Spanisch, Französisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner, Mittagessen",,,"Verein „Freunde und Förderer der Gruneliusschule Oberrad e.V.""","Öffnungszeiten: Vormittags benutzen Klassen die Bücherei, nachmittags gibt es offene Nutzungszeiten von 12:30 - 15:30 Uhr. Von der Stadtbücherei aufgebaut und organisiert.",Die Bankiersfamilie von Grunelius machte sich durch Stiftungen für Waisenkinder und Frankfurter Bürger verdient.,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/gruneliusschule,gruneliusschule,Frankfurt Schulwegweiser,2026-04-06
3121,Günderrodeschule,Grundschule,grundschulen,Grundschule,1-4,Hufnagelstraße 25,60326,Frankfurt am Main,Frankfurt am Main,Hessen,Gallus,50.1044,8.64231,+49 69 212 33086,+49 69 212 39092,poststelle.guenderrodeschule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Birgit Kron,N.N.,423.0,18.0,08:00 bis 13:10 Uhr,,"Schwerpunkt Musik, Schwerpunkt Sport, Schwerpunkte",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner, Mittagessen, Schullandheim",,"Zertifikat ""Gesundheitsfördernde Schule"", Zertifikat ""Musikalische Grundschule"", Teilzertifkat ""bewegte Schule""","""Förderverein der Günderrode-Schule e.V."", Ansprechpartner/in: Falko Riemer, Mona Özden, Irina Orte; foerderverein@guenderrodeschule.de",Ist vorhanden (von der Stadtbücherei aufgebaut und organisiert),"Freiherr Maximilian von Günderrode (1753-1834), Politiker",,,,11.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/guenderrodeschule,guenderrodeschule,Frankfurt Schulwegweiser,2026-04-06
3112,Heinrich-Kromer-Schule,Grundschule,grundschulen,Grundschule,1-4,Niederurseler Landstraße 60,60439,Frankfurt am Main,Frankfurt am Main,Hessen,Niederursel,50.1657,8.62592,+49 69 212 34287,+49 69 212 32752,poststelle.heinrich-kromer-schule@stadt-frankfurt.de,http://www.heinrich-kromer-schule.de,Stadt Frankfurt am Main,,,Christiane Sturm-Kleiner,Ulrike Horas-Fiedler,380.0,17.0,08:00 bis 13:20 Uhr,,Schwerpunkt Sport,,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Frühbetreuung,"Besondere Leseförderung, Förderung besonderer Begabung, Förderung der Deutschkenntnisse, Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Jugendhilfeangebot, Kooperationspartner",,"Umweltschule, Zertifikat ""Gesundheitsfördernde Schule""","""Förderverein Heinrich-Kromer-Schule e.V."", Ansprechpartner: Herr Ramonat, foerderverein@heinrich-kromer-schule.de",Schülerzeitung,"Heinrich Kromer (1888-1965), Oberschulrat und Stadtrat",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/heinrich-kromer-schule,heinrich-kromer-schule,Frankfurt Schulwegweiser,2026-04-06
3159,Heinrich-Seliger-Schule,Grundschule,grundschulen,Grundschule,0. Vorschule,Mierendorffstraße 8,60320,Frankfurt am Main,Frankfurt am Main,Hessen,Dornbusch,50.141,8.67439,+49 69 212 35332,+49 69 212 32733,poststelle.heinrich-seliger-schule@stadt-frankfurt.de,http://www.heinrich-seliger-schule.de,Stadt Frankfurt am Main,,,Silke Mühl,Angela Filusch,396.0,19.0,08:00 bis 13:20 Uhr,,,,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Ganztagsangebote, Gewaltprävention, Kooperationspartner, Mittagessen",,"Umweltschule, Internet ABC-Schule, Energiesparschule","""Verein der Freunde und Förderer der Heinrich-Seliger-Schule"", Ansprechpartnerin: Ina Füner-Rentrop",,"Heinrich Seliger (1888-1956), Politiker. Als Stadtverordneter zuständig für den Wiederaufbau des Frankfurter Schulwesens und der Einrichtung des Frankfurter Schullandheims Wegscheide",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/heinrich-seliger-schule,heinrich-seliger-schule,Frankfurt Schulwegweiser,2026-04-06
3160,Hellerhofschule,Grundschule,grundschulen,Grundschule,1-4,Idsteiner Straße 47,60326,Frankfurt am Main,Frankfurt am Main,Hessen,Gallus,50.1052,8.63372,+49 69 212 35301,+49 69 212 35211,poststelle.hellerhofschule@stadt-frankfurt.de,http://hellerhofschule.de,Stadt Frankfurt am Main,,,Ekaterini Pappas,Melike Altun,380.0,23.0,siehe Erläuterung der Unterrichtszeit,,,,,,,,,,,Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner, Mittagessen",,Gesunde Schule,,Die Klassen arbeiten hier in regelmäßigen Abständen. Bücher können ausgeliehen werden. Von der Stadtbücherei aufgebaut und organisiert.,"Benannt nach einem Gutshof, der vor den Stadttoren lag.",,,,35.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/hellerhofschule,hellerhofschule,Frankfurt Schulwegweiser,2026-04-06
4179,Henri-Dunant-Schule,Grundschule,grundschulen,Grundschule,1-4,Schaumburger Straße 62,65936,Frankfurt am Main,Frankfurt am Main,Hessen,Sossenheim,50.1189,8.5601,+49 69 212 75175,+49 69 212 75684,poststelle.henri-dunant-schule@stadt-frankfurt.de,http://www.henri-dunant-grundschule.de,Stadt Frankfurt am Main,,,Ulrich Grünenwald,Eleonore Schwab,360.0,16.0,08:00 bis 13:15 Uhr,,"Schwerpunkt Kunst, Schwerpunkt Musik",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner",,Schuljahr der Nachhaltigkeit,"""Förderverein Henri-Dunant-Schule"", Ansprechpartnerin: Frau Herrmann, Frau Kissel",Öffnungszeiten: Mo. - Fr. 09:00 bis 11:30 Uhr.,"Henri Dunant (1828-1910), Initiator des Roten Kreuzes",,,,18.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/henri-dunant-schule,henri-dunant-schule,Frankfurt Schulwegweiser,2026-04-06
3113,Holzhausenschule,Grundschule,grundschulen,Grundschule,1-4,Miquelallee 162,60323,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1279,8.67244,+49 69 212 35256,+49 69 212 33447,poststelle.holzhausenschule@stadt-frankfurt.de,http://www.holzhausen.frankfurt.schule.hessen.de/,Stadt Frankfurt am Main,,,Josefa Maria Hybner-Kauß,,467.0,24.0,08:00 bis 13:15 bzw. 14:00 Uhr,,"Schwerpunkt Kunst, Schwerpunkt Musik, Schwerpunkt Sprachen, Schwerpunkte",,,Bilingual Deutsch/Italienisch,"Englisch, Herkunftssprachlicher Unterricht, Griechisch, Bilingual, Griechisch, Italienisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Griechisch, Bilingual, Griechisch, Italienisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,"Zertifikat ""Musikalische Grundschule""","""Förderverein der Holzhausenschule e.V."", info@fv-hhs.de","Öffnungszeiten: Täglich von 08:00 - 13:15 Uhr, Ausleihe: Mittwoch 11:30 - 13:30 Uhr und Freitag 1. und 2. Pause. Von der Stadtbücherei aufgebaut und organisiert.",Benannt nach dem Patriziergeschlecht Holzhausen,,,,12.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/holzhausenschule,holzhausenschule,Frankfurt Schulwegweiser,2026-04-06
3114,Hostatoschule,Grundschule,grundschulen,"Grundschule, Haupt- und Realschule",1-10,Hostatostraße 38,65929,Frankfurt am Main,Frankfurt am Main,Hessen,Höchst,50.1009,8.54451,+49 69 212 45553,+49 69 212 45791,poststelle.hostatoschule@stadt-frankfurt.de,http://www.hostatoschule.de,Stadt Frankfurt am Main,,,Marianna Papadopoulou,,488.0,20.0,,,,,,,Englisch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, Spanisch",,,"Englisch, Englisch, Herkunftssprachlicher Unterricht, Türkisch, Spanisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner, Mittagessen",,"Musikalische Grundschule, Schuljahr der Nachhaltigkeit, Gütesiegel Berufsorientierung","""Förderverein der Hostatoschule"", Ansprechpartner: Herr Rako, förderverein@hostatoschule.de",Schullandheim,abgeleitet von dem Fränkischen Edelmannn Hostato,,,,43.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/hostatoschule,hostatoschule,Frankfurt Schulwegweiser,2026-04-06
SW-isaak-emil-lichtigfeld-schule,I. E.Lichtigfeld-Schule (Grundschule),Grundschule,grundschulen,"Grundschule, Gymnasium",1-4,Westendstraße 45-47,60325,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1139445,8.6608735,+49 69 768036550,,lichtigfeld-schule@jg-ffm.de,http://www.lichtigfeld-schule.de,Private Träger,Jüdische Gemeinde Frankfurt am Main K.d.ö.R.,Staatlich anerkannte Ersatzschule,Dr. Noga Hartmann,Stefanie Klein,670.0,39.0,"siehe ""Erläuterung zu der Unterrichtszeit""",,"Schwerpunkt Kunst, Schwerpunkt Musik, Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien",,,Deutsch,"Englisch, Neu-Hebräisch",Englisch,"Französisch, Latein","Spanisch, Weitere Sprachangebote, Russisch, Französisch","Englisch, Neu-Hebräisch, Englisch, Französisch, Latein, Spanisch, Weitere Sprachangebote, Russisch, Französisch",Ganztagsangebote,,"Förderung besonderer Begabung, Ganztägig arbeitende Schule, Gewaltprävention, Hausaufgabenhilfe/-betreuung, Kooperationspartner",,"Musikalische Grundschule, Internet-ABC-Schule","""Förderverein Lichtigfeld-Schule e.V."", Ansprechpartner/in: Herr Schnabel",,Die Schule wurde nach dem Landesrabbiner Isaak Emil Lichtigfeld anlässlich seines ersten Todestages am 13.12.1968 benannt.,,,Gymnasium = G-8,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/isaak-emil-lichtigfeld-schule,isaak-emil-lichtigfeld-schule,Frankfurt Schulwegweiser,2026-04-06
4293,ibms International Bilingual Montessori School,Grundschule,grundschulen,Grundschule,1-4,Senckenberganlage 20-22,60325,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.115,8.65987,+49 69 745646,,office@ibms-frankfurt.com,https://www.ibms-frankfurt.com/,Private Träger,International Bilingual Montessori School e.V.,Staatlich anerkannte Ersatzschule (Grundschule),Sonja Hauk,,175.0,7.0,08:00 bis 16:00 Uhr,,Schwerpunkt Sprachen,,,Bilingual Deutsch/Englisch,"Englisch, Herkunftssprachlicher Unterricht, Deutsch, Englisch, Bilingual, Englisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Deutsch, Englisch, Bilingual, Englisch",Ganztagsangebote,,Mittagessen,,,"""Freunde und Förderer der IBMS e.V.""",Ganztagsangebote,"Maria Montessori (1870-1952), Italienische Pädagogin aus der Tradition der Reformpädagogik",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/international-bilingual-montessori-school,international-bilingual-montessori-school,Frankfurt Schulwegweiser,2026-04-06
SW-igs-eschersheim,IGS Eschersheim (Grundschule),Grundschule,grundschulen,"Grundschule, Integrierte Gesamtschule (IGS)",1-10,Zehnmorgenstraße 20,60433,Frankfurt am Main,Frankfurt am Main,Hessen,Eschersheim,50.1593054,8.6596324,+49 69 212 38751,+49 69 212 32343,poststelle.igs-eschersheim@stadt-frankfurt.de,http://www.igs-eschersheim.de,Stadt Frankfurt am Main,,,Martin Ostmann,,700.0,34.0,07:50 bis 17:00 Uhr,,,,,Deutsch,"Englisch, Französisch",Englisch,"Französisch, Herkunftssprachlicher Unterricht, Türkisch",,"Englisch, Französisch, Englisch, Französisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Besondere Leseförderung, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner, Pausenverkauf",,Umweltschule,"""Förderkreis der IGS Eschersheim""",Schüleraustausch,Die Schule ist im Stadtteil Eschersheim gelegen.,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/igs-eschersheim,igs-eschersheim,Frankfurt Schulwegweiser,2026-04-06
4393,IKS - Interkulturelle Schule Rhein Main (Grundschule),Grundschule,grundschulen,Grundschule,,Kaiserkronenweg 1,60433,Frankfurt am Main,Frankfurt am Main,Hessen,Preungesheim,50.1094,8.66743,+49 69 27997180,+49 69 27997182,info@iks-schule.de,http://www.iks-rhein-main.de,Private Träger,EAE European Academy of Economics gGmbH,Staalich anerkannte Ersatzschule,Dr. I. Özkan,,199.0,,,,,,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Frühbetreuung,"Ganztagsangebote, Mittagessen",,,,,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/iks---interkulturelle-grundschule,iks---interkulturelle-grundschule,Frankfurt Schulwegweiser,2026-04-06
SW-isf-international-school-frankfurt-rhein-main,ISF International School Frankfurt-Rhein-Main (Grundschule),Grundschule,grundschulen,"Grundschule, Gymnasium",1-4,Straße zur Internationalen Schule 33,65931,Frankfurt am Main,Frankfurt am Main,Hessen,Sindlingen,50.0864256,8.5038339,+49 69 3482970,+49 69 34829720,info@isf-sabis.net,https://www.isf.sabis.net/,Private Träger,ISF Internationale School Frankfurt-Rhein-Main Verwaltungs-GmbH & Co. KG,Staatlich anerkannte Ergänzungsschule,Denise Sinclair,,900.0,38.0,"siehe ""Erläuterungen zu der Unterrichtszeit""",,"Schwerpunkt Mathematik, Schwerpunkt Naturwissenschaften, Schwerpunkt Sprachen",,,Bilingual Deutsch/Englisch,Englisch,"Deutsch, Englisch",,"Französisch, Spanisch, Herkunftssprachlicher Unterricht, Japanisch, Koreanisch, Bilingual, Englisch","Englisch, Deutsch, Englisch, Französisch, Spanisch, Herkunftssprachlicher Unterricht, Japanisch, Koreanisch, Bilingual, Englisch",Ganztagsangebote,,"AGs am Nachmittag, Ganztägig arbeitende Schule, Ganztagsangebote, Mittagessen",,,,,,,,Internationale allgemeinbildende Ergänzungsschule mit Englisch als Grundsprache.,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/isf-international-school-frankfurt-rhein-main,isf-international-school-frankfurt-rhein-main,Frankfurt Schulwegweiser,2026-04-06
SW-japanische-internationale-schule-frankfurt,Japanische Internationale Schule Frankfurt (Grundschule),Grundschule,grundschulen,"Grundschule, Gymnasium, Realschule",1-9,Langweidenstraße 8-12,60488,Frankfurt am Main,Frankfurt am Main,Hessen,Hausen,50.1316062,8.6305346,+49 69 97671190,+49 69 976711955,info@jisf.de,http://www.jisf.de,Private Träger,Japanische Internationale Schule Frankfurt e.V.,Staatlich anerkannte Ergänzungsschule,wechselt alle drei Jahre,,227.0,10.0,08:30 bis 15:00 Uhr,,"Internationale Ausrichtung, Schüleraustausch / Schulpartnerschaft",,,Japanisch,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Japanisch",,"Deutsch, Englisch, Herkunftssprachlicher Unterricht, Japanisch",Ganztagsangebote,Schule mit Konzept: Offene Frankfurter Ganztagsschule,"AGs am Nachmittag, Ganztägig arbeitende Schule",,,"""Förderverein c/o Japanische Internationale Schule"", Ansprechpartner/in: Dr. Hiroto Oka",Schüleraustausch,,,,"Die Schule wurde mit dem Ziel gegründet, in und um Frankfurt am Main lebenden Kindern sowohl japanischer als auch anderer Nationalität eine Grund- und Mittelschulausbildung in japanischer Sprache zu geben. Gleichzeitig wird Deutschunterricht erteilt, um die Kinder zu befähigen, in der deutschen Gesellschaft und Kultur zu leben.",,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/japanische-internationale-schule-frankfurt,japanische-internationale-schule-frankfurt,Frankfurt Schulwegweiser,2026-04-06
4412,Judith-Kerr-Schule,Grundschule,grundschulen,Grundschule,1-4,,0None,Frankfurt am Main,Frankfurt am Main,Hessen,Kalbach-Riedberg,50.1757883,8.6164185,+49 69 212 45432,+49 69 212 41415,poststelle.judith-kerr-schule@stadt-frankfurt.de,https://www.judithkerrschule.de/,Stadt Frankfurt am Main,,,Amrei Quandel,Johanna Eckhardt,200.0,10.0,08:30 bis 14:35 Uhr,,Flexibler Schulanfang,,,Deutsch,Englisch,,,,Englisch,,Schule mit Frühbetreuung,"Ganztagsangebote, Mittagessen",,,Freundeskreis der Judith-Kerr-Schule e.V.,"Von der Stadtbücherei aufgebaut und organisiert. Ausleihe durch die Eltern; Teilnahme an der ""Kalbacher Klapperschlange"".","Judith Kerr (1923-2019), Schriftstellerin",,,"Die Judith-Kerr-Schule ist eine Schule im Flexiblen Schulanfang („Flex“). Dabei sind die Jahrgangsstufen 1 und 2 zu einer pädagogischen Einheit zusammengefasst, der sogenannten „Flexklasse“. In den Flexklassen unterrichten Lehrerinnen und Lehrer stundenweise gemeinsam mit Sozialpädagoginnen und Sozialpädagogen. Dies ermöglicht eine noch lerngruppenspezifischere und individuellere Förderung des einzelnen Kindes. Die Schülerinnen und Schüler haben die Möglichkeit, entsprechend ihrem jeweiligen Lern- und Leistungsvermögen die zusammengefassten Jahrgangsstufen 1 und 2 in einem, in zwei oder in drei Schuljahren zu durchlaufen.",14.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/judith-kerr-schule,judith-kerr-schule,Frankfurt Schulwegweiser,2026-04-06
3116,Karl-von-Ibell-Schule,Grundschule,grundschulen,Grundschule,1-4,Schmalkaldener Straße 8,65929,Frankfurt am Main,Frankfurt am Main,Hessen,Unterliederbach,50.1094,8.52718,+49 69 212 45164,+49 69 212 45165,poststelle.karl-von-ibell-schule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Filiz Dikeren,Nawal Sa´duddin,414.0,18.0,08:00 bis 13:20 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, Polnisch, Italienisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, Polnisch, Italienisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Kooperationspartner",,"""Gesundheitsfördernde Schule"", Teilzertifikat ""Bewegung"" im Schuljahr 2008/09","""Förderverein der Karl-von-Ibell-Schule e.V."", Ansprechpartner: Herr Rupp",Erläuterungen der Angebote,Karl von Ibell (1780-1834) Politiker,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/karl-von-ibell-schule,karl-von-ibell-schule,Frankfurt Schulwegweiser,2026-04-06
3117,Karmeliterschule,Grundschule,grundschulen,Grundschule,1-4,Moselstraße 11,60329,Frankfurt am Main,Frankfurt am Main,Hessen,Bahnhofsviertel,50.1066,8.66786,+49 69 212 35338,+49 69 212 35215,poststelle.karmeliterschule@stadt-frankfurt.de,http://www.karmeliterschule.de,Stadt Frankfurt am Main,,,Julia Köcher,,155.0,9.0,"siehe ""Erläuterungen zu der Untrrichtszeit""",,,,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Frühbetreuung,"Besondere Leseförderung, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner",,,"""Förderverein der Karmeliterschule"", foerderverein@karmeliterschule.de",Erläuterungen der Angebote,"Benannt nach dem Karmeliterkloster, das seit 1250 in Frankfurt besteht.",,,,15.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/karmeliterschule,karmeliterschule,Frankfurt Schulwegweiser,2026-04-06
3118,Kerschensteinerschule,Grundschule,grundschulen,Grundschule,1-4,Am Spritzenhaus 2,60488,Frankfurt am Main,Frankfurt am Main,Hessen,Hausen,50.1326,8.62226,+49 69 212 45192,+49 69 212 45190,poststelle.kerschensteinerschule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Daniela Juraschek,Marcel Peters,363.0,17.0,08:00 bis 13:15 Uhr,,"Schwerpunkt Musik, Schwerpunkt Neue Technologien, Schwerpunkt Sport, Erläuterung Schwerpunkte",,,Deutsch,"Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",,,,"Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner, Pausenverkauf",,,"""Förderkreis Kerschensteinerschule e.V."", Ansprechpartnerin: Sabine Dziallas, foerderkreis@kerschensteinerschule-hausen.de","Von der Stadtbücherei aufgebaut und organisiert. Öffnungszeiten: Geöffnet in der 1. Pause, unterstützt von Eltern und durch den Förderverein (Bücherspenden). Unterrichtliche Nutzung klassenweise jederzeit möglich. Konzept: Autorenlesungen, Vorlesewettbewerb, Vorlesestunden, Zusammenarbeit mit der Stadtbibliothek Rödelheim.",Nach dem Arbeitspädagogen Georg Kerschensteiner (1854-1931),,,"Schulen mit flexiblem Schulanfang fügen die Jahrgangsstufen 1 und 2 inhaltlich und organisatorisch zusammen. Die Kinder durchlaufen diese beiden Stufen je nach individuellem Entwicklungs- und Leistungsstand in mindestens einem, zwei oder höchstens drei Jahren. Die Lehrkräfte werden in diesen Klassen von Sozialpädagoginnen/Sozialpädagogen unterstützt.",16.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/kerschensteinerschule,kerschensteinerschule,Frankfurt Schulwegweiser,2026-04-06
3161,Kirchnerschule,Grundschule,grundschulen,Grundschule,1-4,Berger Straße 268,60385,Frankfurt am Main,Frankfurt am Main,Hessen,Bornheim,50.1289,8.71214,+49 69 212 35293,+49 69 212 37603,poststelle.kirchnerschule@stadt-frankfurt.de,http://www.kirchnerschule-frankfurt.de,Stadt Frankfurt am Main,,,Björn Loose,,442.0,20.0,"siehe ""Erläuterung zu der Unterrichtszeit""",,"Schwerpunkt Sport, Erläuterung der Schwerpunkte",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Kroatisch, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Kroatisch, Türkisch",,Schule mit Frühbetreuung,"AGs am Nachmittag, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,,,"Öffnungszeiten: täglich in den beiden Pausen, sowie für die Klassen nach Absprache. Von der Stadtbücherei aufgebaut und organisiert.","Dr. Anton Kirchner (1779-1835) Pfarrer, Historiker, Pädagoge",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/kirchnerschule,kirchnerschule,Frankfurt Schulwegweiser,2026-04-06
